,millis,ssm,system:index,date
125,1460376000000,66.72885458286552,NASA_USDA_SMAP_SM20160411_20160413,2016-04-11 12:00:00
126,1460635200000,50.318914076017826,NASA_USDA_SMAP_SM20160414_20160416,2016-04-14 12:00:00
127,1460894400000,43.71474012468454,NASA_USDA_SMAP_SM20160417_20160419,2016-04-17 12:00:00
128,1461153600000,35.89487680219414,NASA_USDA_SMAP_SM20160420_20160422,2016-04-20 12:00:00
129,1461412800000,32.46912086676514,NASA_USDA_SMAP_SM20160423_20160425,2016-04-23 12:00:00
130,1461672000000,31.830881950621386,NASA_USDA_SMAP_SM20160426_20160428,2016-04-26 12:00:00
131,1461931200000,48.059582589959795,NASA_USDA_SMAP_SM20160429_20160501,2016-04-29 12:00:00
132,1462190400000,39.97126548153363,NASA_USDA_SMAP_SM20160502_20160504,2016-05-02 12:00:00
133,1462449600000,35.101127164241724,NASA_USDA_SMAP_SM20160505_20160507,2016-05-05 12:00:00
134,1462708800000,41.161298390326735,NASA_USDA_SMAP_SM20160508_20160510,2016-05-08 12:00:00
135,1462968000000,32.58080377057686,NASA_USDA_SMAP_SM20160511_20160513,2016-05-11 12:00:00
136,1463227200000,33.08853498615663,NASA_USDA_SMAP_SM20160514_20160516,2016-05-14 12:00:00
137,1463486400000,53.36707422266295,NASA_USDA_SMAP_SM20160517_20160519,2016-05-17 12:00:00
138,1463745600000,37.648239812753516,NASA_USDA_SMAP_SM20160520_20160522,2016-05-20 12:00:00
139,1464004800000,33.668536792203554,NASA_USDA_SMAP_SM20160523_20160525,2016-05-23 12:00:00
140,1464264000000,31.13627842842305,NASA_USDA_SMAP_SM20160526_20160528,2016-05-26 12:00:00
141,1464523200000,32.79830103807277,NASA_USDA_SMAP_SM20160529_20160531,2016-05-29 12:00:00
142,1464782400000,31.13332313267993,NASA_USDA_SMAP_SM20160601_20160603,2016-06-01 12:00:00
143,1465041600000,27.676898297672604,NASA_USDA_SMAP_SM20160604_20160606,2016-06-04 12:00:00
144,1465300800000,27.421408766746666,NASA_USDA_SMAP_SM20160607_20160609,2016-06-07 12:00:00
145,1465560000000,48.06059108220691,NASA_USDA_SMAP_SM20160610_20160612,2016-06-10 12:00:00
146,1465819200000,31.34907894898512,NASA_USDA_SMAP_SM20160613_20160615,2016-06-13 12:00:00
